category,kol_name,twitter_link
研发,Andrew Kang,https://twitter.com/Rewkang
研发,Miles Deutscher,https://twitter.com/milesdeutscher
研发,Layergg,https://twitter.com/layerggofficial
研发,DonAlt,https://twitter.com/CryptoDonAlt
研发,Ignas | DeFi Research,https://twitter.com/DefiIgnas
研发,The DeFi Investor,https://twitter.com/TheDeFinvestor
研发,Crypp,https://twitter.com/cryppinfluence
研发,Shiro,https://twitter.com/CryptoShiro_
研发,AlΞx Wacy 🌐,https://twitter.com/wacy_time1
研发,Alpha Frog,https://twitter.com/AlphaFrog13
研发,BTCdayu,https://twitter.com/BTCdayu
研发,陳劍Jason,https://twitter.com/jason_chen998
研发,Haotian,https://twitter.com/tmel0211
研发,土澳大獅兄BroLeon,https://twitter.com/BroLeonAus
研发,rick awsb,https://twitter.com/rickawsb
研发,🔮0xWizard🧙♂️,https://twitter.com/0xcryptowizard
研发,Rui,https://twitter.com/YeruiZhang
研发,NingNing (🌿,👻),https://twitter.com/0xNing0x
研发,FEI | 0xKEY,https://twitter.com/FEIlXIE
行情,IncomeSharks,https://twitter.com/IncomeSharks
行情,Altcoin Sherpa,https://twitter.com/AltcoinSherpa
行情,EliZ¥,https://twitter.com/eliz883
行情,XO,https://twitter.com/Trader_XO
行情,Cred,https://twitter.com/CryptoCred
行情,RektProof,https://twitter.com/RektProof
行情,Rekt Capital,https://twitter.com/rektcapital
行情,AN₿ESSA,https://twitter.com/Anbessa100
行情,Daan Crypto Trades,https://twitter.com/DaanCrypto
行情,川沐,https://twitter.com/xiaomucrypto
行情,Dahuzi.eth,https://twitter.com/Dahuzi_eth
行情,wu fan,https://twitter.com/wufantouzi
行情,Keyshotvv,https://twitter.com/Keyshotvv
行情,KillerWhalesDAO 虎鯨會,https://twitter.com/KillerWhalesDAO
行情,狙神Trader,https://twitter.com/bqjushen
行情,餘三水丨YS_club🎣,https://twitter.com/YSI_crypto
行情,Tai Bai,https://twitter.com/0xTaiBai
空投,何幣,https://twitter.com/hebi555
空投,jiamigou,https://twitter.com/JiamigouCn
空投,老八擼幣,https://twitter.com/BTCOld8
空投,zlexdl,https://twitter.com/zlexdl
空投,追風Lab,https://twitter.com/ZF_lab
空投,蛙林,https://twitter.com/tenbili_0xbilly
空投,鑑叔,https://twitter.com/jianshubiji
宏观,QCP Capital,https://twitter.com/QCPCapital
宏观,Alf,https://twitter.com/MacroAlf
宏观,tedtalksmacro,https://twitter.com/tedtalksmacro
宏观,Adam@Greeks.live,https://twitter.com/BTC__options
宏观,Phyrex,https://twitter.com/phyrex_ni
宏观,qinbafrank,https://twitter.com/qinbafrank
